timestamp,cpu_usage,memory_mb,network_kbps,response_time_ms
2024-01-01 00:00:00,10,800,100,28
2024-01-01 01:00:00,12,820,110,30
2024-01-01 02:00:00,14,840,120,32
2024-01-01 03:00:00,16,860,130,35
2024-01-01 04:00:00,18,880,140,37
2024-01-01 05:00:00,20,900,150,39
2024-01-01 06:00:00,22,920,160,41
2024-01-01 07:00:00,24,940,170,43
2024-01-01 08:00:00,26,960,180,46
2024-01-01 09:00:00,28,980,190,48
2024-01-01 10:00:00,30,1000,200,50
2024-01-01 11:00:00,32,1020,210,52
2024-01-01 12:00:00,34,1040,220,54
2024-01-01 13:00:00,36,1060,230,57
2024-01-01 14:00:00,38,1080,240,59
2024-01-01 15:00:00,40,1100,250,61
2024-01-01 16:00:00,42,1120,260,63
2024-01-01 17:00:00,44,1140,270,65
2024-01-01 18:00:00,46,1160,280,68
2024-01-01 19:00:00,48,1180,290,70
2024-01-01 20:00:00,50,1200,300,72
2024-01-01 21:00:00,52,1220,310,74
2024-01-01 22:00:00,54,1240,320,76
2024-01-01 23:00:00,56,1260,330,79
2024-01-02 00:00:00,58,1280,340,81
2024-01-02 01:00:00,58,1280,340,81
2024-01-02 02:00:00,56,1260,330,79
2024-01-02 03:00:00,54,1240,320,76
2024-01-02 04:00:00,52,1220,310,74
2024-01-02 05:00:00,50,1200,300,72
2024-01-02 06:00:00,48,1180,290,70
2024-01-02 07:00:00,46,1160,280,68
2024-01-02 08:00:00,44,1140,270,65
2024-01-02 09:00:00,42,1120,260,63
2024-01-02 10:00:00,40,1100,250,61
2024-01-02 11:00:00,38,1080,240,59
2024-01-02 12:00:00,36,1060,230,57
2024-01-02 13:00:00,34,1040,220,54
2024-01-02 14:00:00,32,1020,210,52
2024-01-02 15:00:00,30,1000,200,50
2024-01-02 16:00:00,28,980,190,48
2024-01-02 17:00:00,26,960,180,46
2024-01-02 18:00:00,24,940,170,43
2024-01-02 19:00:00,22,920,160,41
2024-01-02 20:00:00,20,900,150,39
2024-01-02 21:00:00,18,880,140,37
2024-01-02 22:00:00,16,860,130,35
2024-01-02 23:00:00,14,840,120,32
2024-01-03 00:00:00,12,820,110,30
2024-01-03 01:00:00,10,800,100,28
